"HospitalAdmitRateDateRange","SevDayHospAdmitCount","SevDayHospAdmitRatePer100K","Population"
"2021-07-01  to  2021-07-07",264,3.45000,7656200
"2021-07-02  to  2021-07-08",257,3.36000,7656200
"2021-07-03  to  2021-07-09",261,3.41000,7656200
"2021-07-04  to  2021-07-10",244,3.19000,7656200
"2021-07-05  to  2021-07-11",266,3.47000,7656200
"2021-07-06  to  2021-07-12",279,3.64000,7656200
"2021-07-07  to  2021-07-13",307,4.01000,7656200
"2021-07-08  to  2021-07-14",287,3.75000,7656200
"2021-07-09  to  2021-07-15",310,4.05000,7656200
"2021-07-10  to  2021-07-16",314,4.10000,7656200
"2021-07-11  to  2021-07-17",334,4.36000,7656200
"2021-07-12  to  2021-07-18",324,4.23000,7656200
"2021-07-13  to  2021-07-19",322,4.21000,7656200
"2021-07-14  to  2021-07-20",346,4.52000,7656200
"2021-07-15  to  2021-07-21",370,4.83000,7656200
"2021-07-16  to  2021-07-22",366,4.78000,7656200
"2021-07-17  to  2021-07-23",383,5.00000,7656200
"2021-07-18  to  2021-07-24",382,4.99000,7656200
"2021-07-19  to  2021-07-25",411,5.37000,7656200
"2021-07-20  to  2021-07-26",466,6.09000,7656200
"2021-07-21  to  2021-07-27",490,6.40000,7656200
"2021-07-22  to  2021-07-28",557,7.28000,7656200
"2021-07-23  to  2021-07-29",603,7.88000,7656200
"2021-07-24  to  2021-07-30",622,8.12000,7656200
"2021-07-25  to  2021-07-31",648,8.46000,7656200
"2021-07-26  to  2021-08-01",685,8.95000,7656200
"2021-07-27  to  2021-08-02",699,9.13000,7656200
"2021-07-28  to  2021-08-03",734,9.59000,7656200
"2021-07-29  to  2021-08-04",746,9.74000,7656200
"2021-07-30  to  2021-08-05",732,9.56000,7656200
"2021-07-31  to  2021-08-06",763,9.97000,7656200
"2021-08-01  to  2021-08-07",806,10.53000,7656200
"2021-08-02  to  2021-08-08",833,10.88000,7656200
"2021-08-03  to  2021-08-09",850,11.10000,7656200
"2021-08-04  to  2021-08-10",852,11.13000,7656200
"2021-08-05  to  2021-08-11",862,11.26000,7656200
"2021-08-06  to  2021-08-12",894,11.68000,7656200
"2021-08-07  to  2021-08-13",868,11.34000,7656200
